name,file,mature,platform,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,,isbig

plr_0_vox_gen_pain_0,voiceovers\zombie\dlc3\plr0\gen_pain_00.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.8,2100,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_gen_pain_1,voiceovers\zombie\dlc3\plr0\gen_pain_01.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.8,2100,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_gen_pain_2,voiceovers\zombie\dlc3\plr0\gen_pain_02.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.8,2100,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_gen_pain_3,voiceovers\zombie\dlc3\plr0\gen_pain_03.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.8,2100,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_0_vox_gen_pain_4,voiceovers\zombie\dlc3\plr0\gen_pain_04.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.8,2100,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_1_vox_gen_pain_0,voiceovers\zombie\dlc3\plr1\gen_pain_00.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.8,2100,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_1_vox_gen_pain_1,voiceovers\zombie\dlc3\plr1\gen_pain_01.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.8,2100,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_1_vox_gen_pain_2,voiceovers\zombie\dlc3\plr1\gen_pain_02.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.8,2100,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
plr_1_vox_gen_pain_3,voiceovers\zombie\dlc3\plr1\gen_pain_03.wav,,,,1,1,75,1700,2,reject,1,reject,voice,,curve2,0.8,2100,,curve2,1,1,,3d,streamed,,,master,,,,,,0,,,,50,500,0.9,0.5,,,,,,10,25,0.25,1,,
